proposicao,id_camara,id_senado,row,id_leggo
MPV 637/2013,605340,NA,14240,26d7d589593009c77be54c36520caaff
MPV 949/2020,2246358,NA,14438,4648a4c09acdff25d7ac7bf750cc5525
MPV 1002/2020,2263381,NA,14759,e0fe7caf6294ad5a6dd6c3a7df733d4c
MPV 835/2018,NA,133460,14832,35a2cfecd4e31ee2178393b8b49e9617
MPV 800/2017,2151922,NA,14849,e44c5551f4f83d292983d0ca0b7e8364
MPV 689/2015,NA,122929,14855,019bb9928c6f0f6f4757794cad64943d
MPV 611/2013,570608,NA,14861,8c32c69752e6dfb54dc2947c92765c4e
MPV 878/2019,NA,135994,14988,03abe3d152d105fb10b035a542008e0e
MPV 522/2011,490727,NA,15000,ff7eaa093d3763b08a7a2979e08a419d
MPV 648/2014,618090,NA,15015,b7c3ff469490e230b4bd7e76c423555e
MPV 768/2017,2122684,NA,15042,ac632d2492bafea9547c25436fb66e4b
MPV 891/2019,NA,137871,15047,8456f2b38b750f1ff16173c8bb4757e8
MPV 647/2014,617512,NA,15251,dd1a50a6dbe28a00a1ab13c5b2160600
MPV 1016/2020,2267685,NA,15361,514a8d7d56cef78703617e28b70d7776
MPV 935/2020,2242617,NA,15453,f023c8556c3ead5dee7955c80c4ea8ae
MPV 823/2018,2169096,NA,15683,d82ec6a5dacd635ff81fad422afca91f
MPV 777/2017,2132524,NA,15695,f01087b053fb3591b2bda4203afa01dc
MPV 730/2016,2087410,NA,15719,f4d23df55eccbf6f3542c364f3538eb1
MPV 1021/2020,2268414,NA,15766,e06bce83b0088e22ca82039c8c6298b2
MPV 834/2018,2177152,NA,15784,99dcc512b3d9b1a266aa591c4bd4e1ec
MPV 988/2020,NA,143157,15899,9fd05d47b6940177386238da029638ed
MPV 642/2014,612875,NA,15942,aafab67120b51b7ef0d3fa7582af1b30
MPV 859/2018,2187337,NA,15975,b0a94b0d6cff3028d751809ae06307be
MPV 698/2015,2024766,NA,16005,db4b16868ee393ebf8b37911379ad2c5
MPV 944/2020,NA,141415,16053,27bd296b91236eb6119f572112e4fb11
MPV 610/2013,570604,NA,16069,7f33ad7420bb84d2e5f85f2b72879e16
MPV 1009/2020,2265215,NA,16080,6a43569c70b8c2cd4664e79991f53526
PLS 11/2018,NA,132132,16128,e12f75fa08fba4416b78f981d04b8f2a
MPV 853/2018,2183957,NA,16159,44cb0492f62319e870f03d80aa803c7e
MPV 996/2020,2260971,NA,16162,1b61c20e3f5e8068b8e32562432fb475
MPV 733/2016,2088157,NA,16187,68f72147c182e3447fdb903ee3bda3f5
MPV 997/2020,NA,144430,16226,5a2c9fce8a89b090e4f082c82b30d1e8
MPV 987/2020,NA,143156,16247,14dc2c7d143d4d2d623c7b0187cdfcb2
MPV 647/2014,NA,117939,16565,a0bbd9038eeb8d3108bd17bf12d5c112
MPV 764/2016,2122108,NA,16584,76c1a6739906f0e6f3e707b16768cb44
MPV 636/2013,605334,NA,16588,67b075f2541002615a34b36d686c9bf9
MPV 1011/2020,2265604,NA,16623,f9c7a78975369b4345fd03cee9776a63
MPV 880/2019,2199762,NA,16711,b103270f6e36a893024deceb4706a4d5
MPV 901/2019,2225989,NA,16771,1b6ba37277baee9cec89c49889d945ba
MPV 902/2019,2228675,NA,16828,44bd89799f715081622da3a21ddc92f5
MPV 667/2015,NA,119555,16836,52376908c6534a9ca466ca6131ee54f9
MPV 865/2018,NA,135030,16844,87de5266bc60358d74b7506efdc19b5a
MPV 572/2012,547198,NA,16884,f633b05c3c474e010af5651028259297
MPV 982/2020,NA,142499,17001,68e5d328461d2a1a1489bb6a5a95f778
MPV 671/2015,1050558,NA,17002,e523fa6af1ef2a3f699b13c9da9e714f
MPV 843/2018,2181260,NA,17038,0d6f04ee1d3a267b594d8df81feaba32
MPV 609/2013,566891,NA,17046,9c40026f5df5539a5aba7c584cd95a83
MPV 941/2020,2242774,NA,17071,578bafeca92ab22b05946b8afe6372c5
MPV 718/2016,2079961,NA,17114,8d61ed58f75532ba0915a4a7b9e4475c
MPV 803/2017,2153525,NA,17133,d747299ae839023db01e6002167ec60a
MPV 1033/2021,2270902,NA,17263,845f1e87b19a0ee2eba26f8a94a0621d
MPV 965/2020,NA,141948,17293,c9b05fa18a1a8cd065daa3a0d0aa6fee
MPV 873/2019,NA,135531,17328,398345af3e44311b19117cc024716a82
MPV 545/2011,522365,NA,17356,e20c0dfbd456af9da35c7506f1ca4f5c
MPV 751/2016,2116870,NA,17375,e7f5206b61bf28c3eee8a5b0ed926437
MPV 787/2017,NA,130143,17414,4b8bc9162b6bed3ee781106f274d9001
MPV 781/2017,2138918,NA,17449,43d0a39a1df927a551b7bbdbf99b9a87
MPV 1034/2021,2271124,NA,17468,af2f378e1e23ab01467d0054a6be35c7
MPV 784/2017,NA,129569,17473,79fffba4d1fb3d1569a935b29ca91850
MPV 740/2016,NA,126505,17603,5c9e0c102a5ce88083dc2568af9248fa
MPV 1000/2020,2262062,NA,17645,9ae7e613a70c53c1a4ee0349fe5fc96e
MPV 898/2019,2225435,NA,17765,e85c29e54a8b635e27e8fab2f9429917
MPV 952/2020,NA,141573,17826,fc26cf6186c85302e9fc28da19cb3bcd
MPV 993/2020,2258964,NA,17848,6f9822a6606894eb47ef606f40bd8a38
MPV 847/2018,NA,134006,18062,d57b6cca0600fdf8bf466f4853787bb7
MPV 534/2011,503031,NA,18078,4cea917c904e5cf07e37d545a389ad73
MPV 991/2020,NA,143476,18126,734b2c08a6b76b16044b9ee79df1abd0
